name,ranking,price,rating,year,country,region,sub_region,vineyard,style,color,blurb
B. Leighton 2015 Olsen Brothers Syrah (Yakima Valley),52,45,93,2015,USA,Columbia Valley,Yakima Valley,B. Leighton , Olsen Brothers Syrah ,Red,"The aromas draw you into the glass with notes of green herb, ..."
Alphonse Mellot 2017 La Moussière  (Sancerre),51,36,93,2017,France,Loire Valley,Sancerre,Alphonse Mellot ,Sauvignon Blanc ,White,"This wine comes from Mellot's home domaine of La Moussière, It is ..."
Weingut Christ 2017 White (Wiener Gemischter Satz),50,20,92,2017,Austria,Austria,Wiener Gemischter Satz,Weingut Christ , White ,White,A touch of fragrant rose petal meets ripe pear and juicy peach ...
Paix Sur Terre 2016 The Other One Mourvèdre (Adelaida District),49,55,94,2016,USA,California,Adelaida District,Paix Sur Terre ,Mourvèdre ,Red,"A tad shy on the nose at first, this bottling from Glenrose ..."
Hermann J. Wiemer 2016 Estate Bottled and Grown Dry Riesling (Seneca Lake),48,20,92,2016,USA,New York,Finger Lakes,Hermann J. Wiemer ,Dry Riesling ,White,"Ripe stone fruit, rose and wet stone aromas show intensely on the ..."
Ca' del Bosco 2013 Vintage Collection Dosage Zéro  (Franciacorta),47,75,95,2013,Italy,Lombardy,Franciacorta,Ca' del Bosco , Vintage Collection Dosage Zéro  ,Sparkling,"This stunning sparkler is all about precision, finesse and purity. It opens ..."
Kumeu River 2016 Hunting Hill Chardonnay (Kumeu),46,49,94,2016,New Zealand,New Zealand,Kumeu,Kumeu River , Hunting Hill Chardonnay ,White,This single-vineyard wine hums on the nose but sings on the palate. ...
Emile Beyer 2017 Pfersigberg Grand Cru Gewurztraminer (Alsace),45,50,94,2017,France,Alsace,Alsace,Emile Beyer , Pfersigberg Grand Cru Gewurztraminer ,White,Wonderfully aromatic overtones of rose hip tisane and spicy verbena hover on ...
Yering Station 2016 Little Yering Pinot Noir (Yarra Valley),44,16,92,2016,Australia,Victoria,Yarra Valley,Yering Station , Little Yering Pinot Noir ,Red,"Complex and earthy, this wine knits flavors of hot stone, tobacco, Morello ..."
Bodegas Martinez Lacuesta 2010 Reserva  (Rioja),43,19,92,2010,Spain,Northern Spain,Rioja,Bodegas Martinez Lacuesta ,Rioja,Red,"Fine aromas of brandied cherry, spiced plum and earth get this reserva ..."
Russiz Superiore 2016 Friulano (Collio),42,28,93,2016,Italy,Northeastern Italy,Collio,Russiz Superiore , Friulano ,White,"Aromas of ripe yellow stone fruit, graphite, grapefruit and hazelnut follow over ..."
Muhr-Van der Niepoort 2015 Samt & Seide Blaufränkisch (Carnuntum),41,28,93,2015,Austria,Austria,Carnuntum,Muhr-Van der Niepoort ,Blaufränkisch ,Red,"Pure notes of crushed blueberry have a wonderfully tart edge, almost like ..."
Patricia Green Cellars 2016 Estate Vineyard Old Vine Pinot Noir (Ribbon Ridge),40,42,94,2016,USA,Oregon,Willamette Valley,Patricia Green Cellars ,Pinot Noir ,Red,These old vines were planted between 1984 and 1990. They bring the ...
Comm. G. B. Burlotto 2014 Monvigliero  (Barolo),39,80,96,2014,Italy,Piedmont,Barolo,Comm. G. B. Burlotto , Monvigliero  ,Red,"Enticing aromas of rose, aromatic herb, new leather, truffle and balsamic are ..."
Château Malartic-Lagravière 2015  Pessac-Léognan,38,65,95,2015,France,Bordeaux,N/A,Château Malartic-Lagravière ,Pessac-Léognan,Red,"Smoothly textured, this fruity wine offers balanced acidity and a ripe apricot ..."
Idlewild 2017 The Bird Flora and Fauna Red (Mendocino County),37,25,93,2017,USA,California,Mendocino County,Idlewild ,The Bird Flora and Fauna Red ,Red,"A light, bright expression of 60% Dolcetto, 35% Barbera and 5% Nebbiolo, ..."
Domaine des Terres Dorées 2016  Fleurie,36,25,93,2016,France,Beaujolais,N/A,Domaine des Terres Dorées ,Fleurie,Red,"Made in a rich style, this wine is fully structured and full ..."
